Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
attAgilityRank01LongDesc,,progression,Attribute,newKey,"You are as clumsy as they come but you still do 200% head shot damage and have a 5% chance to dismember with bows, handguns, and knives.",,,,,
attAgilityRank02LongDesc,,progression,Attribute,newKey,"You didn't make the football team but that didn't stop you from practicing. Deal 210% head shot damage and have a 10% chance to dismember with bows, handguns and knives.\nYou move 10% faster (Crouch, Walk, Run).\nAlso adds 20% to your max. stamina.",,,,,
attAgilityRank03LongDesc,,progression,Attribute,newKey,"You are still loud and clunky but can deal 220% head shot damage and have a 15% chance to dismember with bows, handguns and knives.\nYou move 15% faster (Crouch, Walk, Run).\nAlso adds 30% to your max. stamina.",,,,,
attAgilityRank04LongDesc,,progression,Attribute,newKey,"Your dexterity is a bit inept, but you can deal 230% head shot damage and have a 20% chance to dismember with bows, handguns and knives.\nYou move 20% faster (Crouch, Walk, Run).\nAlso adds 40% to your max. stamina.",,,,,
attAgilityRank05LongDesc,,progression,Attribute,newKey,"You are now agile and deal 240% head shot damage and have a 25% chance to dismember with bows, handguns and knives.\nYou move 25% faster (Crouch, Walk, Run).\nAlso adds 50% to your max. stamina.",,,,,
attAgilityRank06LongDesc,,progression,Attribute,newKey,"Your movement is now very nimble and deal 250% head shot damage and have a 30% chance to dismember with bows, handguns and knives.\nYou move 30% faster (Crouch, Walk, Run).\nAlso adds 60% to your max. stamina.",,,,,
attAgilityRank07LongDesc,,progression,Attribute,newKey,"Your dexterity is very impressive. Deal 260% head shot damage and have a 35% chance to dismember with bows, handguns and knives.\nYou move 35% faster (Crouch, Walk, Run).\nAlso adds 70% to your max. stamina.",,,,,
attAgilityRank08LongDesc,,progression,Attribute,newKey,"Moving fluid and landing on your feet are second nature for you. Deal 270% head shot damage and have a 40% chance to dismember with bows, handguns and knives.\nYou move 40% faster (Crouch, Walk, Run).\nAlso adds 80% to your max. stamina.",,,,,
attAgilityRank09LongDesc,,progression,Attribute,newKey,"Your agility is good enough you could be a professional athlete. Deal 285% head shot damage and have a 45% chance to dismember with bows, handguns and knives.\nYou move 45% faster (Crouch, Walk, Run).\nAlso adds 90% to your max. stamina.",,,,,
attAgilityRank10LongDesc,,progression,Attribute,newKey,"Your dexterity is unmatched. Deal 300% head shot damage and have a 50% chance to dismember with bows, handguns and knives.\nYou move 50% faster (Crouch, Walk, Run).\nAlso adds 100% to your max. stamina.",,,,,
